business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Ganpati printers,Flex and Banner Printing,Flex and Banner Printing,Flex and Banner Printing,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,5.0,,"3R4F+GQ2, Mahajantoli, Rajmahal, Jharkhand 816108",Mahajantoli,25.0561144,87.8246202,ChIJ01WyMBuN-jkRghiGjbSyYrs,https://www.google.com/maps/place/?q=place_id:ChIJ01WyMBuN-jkRghiGjbSyYrs,part_382,2026-09-20 20:19:47,3885
Creative Graphics press,Flex and Banner Printing,Digital printing service,Digital printing service,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 82406 91912,N/A,3.5,,"Mazhar Tola Rd, Sahibganj, Jharkhand 816109",816102,25.2383225,87.6355591,ChIJj-lj_4iZ-jkRBs5V-ZW35CE,https://www.google.com/maps/place/?q=place_id:ChIJj-lj_4iZ-jkRBs5V-ZW35CE,part_382,2026-09-20 20:19:47,3886
JHAR PRINT,Flex and Banner Printing,Print shop,Print shop,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 92884 97429,https://jharprint.in/,5.0,,"Yashwant Nagar, Hazaribagh, Jharkhand 825301",Yashwant Nagar,23.974135399999998,85.3559988,ChIJmS6pwAqd9DkRO77BZ8QvvPU,https://www.google.com/maps/place/?q=place_id:ChIJmS6pwAqd9DkRO77BZ8QvvPU,part_382,2026-09-20 20:19:48,3887
D Graphics - PRINTING PRESS Bhagalpur,Flex and Banner Printing,Digital printing service,Digital printing service,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 87973 39599,N/A,4.8,182.0,"Limra Complex, Tilkamanjhi - Champanagar Rd, Khanpatti, Chowk, Bhagalpur, Bihar 812001","Khanpatti, Chowk",25.254039499999998,87.0002533,ChIJT4SI_iA38DkRk6qgeoD87Gk,https://www.google.com/maps/place/?q=place_id:ChIJT4SI_iA38DkRk6qgeoD87Gk,part_382,2026-09-20 20:19:49,3888
Barnwal Flex,Flex and Banner Printing,Print shop,Print shop,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 92636 36326,N/A,4.5,185.0,"Buxidih Rd, Buxidih, Giridih, Jharkhand 815301",Buxidih,24.185637999999997,86.30624739999999,ChIJN3sfni9U8TkRo4tCOQPg6D8,https://www.google.com/maps/place/?q=place_id:ChIJN3sfni9U8TkRo4tCOQPg6D8,part_382,2026-09-20 20:19:49,3889
Maa Flex printing,Flex and Banner Printing,Digital printing service,Digital printing service,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,5.0,11.0,"Mehta Bhavan, Julu Park Rd, near Head Post Office, Suresh Colony, Hazaribagh, Jharkhand 825301",Suresh Colony,23.994404799999998,85.36638579999999,ChIJ_aRM1gGd9DkRJgkqbtLdS-4,https://www.google.com/maps/place/?q=place_id:ChIJ_aRM1gGd9DkRJgkqbtLdS-4,part_382,2026-09-20 20:19:49,3890
Shuklesh Enterprises,Flex and Banner Printing,Print shop,"Print shop, Commercial printer, Digital printer, Digital printing service, Perinatal center, Spring supplier, 3D printing service",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 70072 56571,N/A,5.0,214.0,"Gajraj nagar, mod, near Dala, Obra, Vilemar Kundi, Uttar Pradesh 231219",816102,24.4580853,83.0081716,ChIJ6aNk-yLljjkR-esqpEOq_wY,https://www.google.com/maps/place/?q=place_id:ChIJ6aNk-yLljjkR-esqpEOq_wY,part_382,2026-09-20 20:19:49,3891
Prem art flex printing press,Flex and Banner Printing,Print shop,Print shop,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 90978 21755,N/A,5.0,1.0,"Hansdiha, Jharkhand 814145",816102,24.6024054,87.0837549,ChIJq6wyfADv8DkRd0VfPCYd9Jw,https://www.google.com/maps/place/?q=place_id:ChIJq6wyfADv8DkRd0VfPCYd9Jw,part_382,2026-09-20 20:19:49,3892
Colors The Printing Palace Chandan Flex,Flex and Banner Printing,Print shop,Print shop,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 76777 59391,N/A,5.0,7.0,"Hotel sukrit, dr j dubey complex, Hamidganj, chhamuhan, Medininagar, Jharkhand 822101",Hamidganj,24.0459605,84.06080949999999,ChIJr83uBHh3jDkRFH6nkPYtC9A,https://www.google.com/maps/place/?q=place_id:ChIJr83uBHh3jDkRFH6nkPYtC9A,part_382,2026-09-20 20:19:49,3893
Shree Balajee Printing & Flex,Flex and Banner Printing,Commercial printer,"Commercial printer, Banner store, Digital printing service, Gift shop, Invitation printing service, Offset Printer, Print shop, Screen printing shop, Trophy shop, Wallpaper store",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 98351 21320,https://www.balajeeflex.com/,4.7,40.0,"Trimurti complex, Katras street, Bhagat singh chowk, near BOI, near Bank of India, Katras, Jharkhand 828114",816102,23.816636,86.2935332,ChIJT46OCyun9jkR3ViBBmtB1yQ,https://www.google.com/maps/place/?q=place_id:ChIJT46OCyun9jkR3ViBBmtB1yQ,part_382,2026-09-20 20:19:49,3894
Sanjay flex printing,Flex and Banner Printing,Print shop,Print shop,816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",N/A,N/A,5.0,1.0,"QHVG+QHV, Kedla, Ghatotand, Jharkhand 825314",816102,23.794329899999997,85.57644739999999,ChIJX9GBx_WL9DkRAoNsJkOHNaQ,https://www.google.com/maps/place/?q=place_id:ChIJX9GBx_WL9DkRAoNsJkOHNaQ,part_382,2026-09-20 20:19:49,3895
SHAH PRINTCITY,Flex and Banner Printing,Offset Printer,"Offset Printer, Print shop",816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO",+91 97091 28720,N/A,4.8,201.0,"98F6+XXH Bano Manzil, Shah villa, Harmu Rd, near Pahari mandir Ranchi, Ranchi, Jharkhand 834001","Shahbag Colony, Kumhartoli",23.374764199999998,85.3126044,ChIJS4h0ajnh9DkRnaxOtFL1LxE,https://www.google.com/maps/place/?q=place_id:ChIJS4h0ajnh9DkRnaxOtFL1LxE,part_382,2026-09-20 20:19:49,3896
