business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Hara Paan Shop,Paan and FMCG Stall,Tobacco shop,Tobacco shop,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 96935 01944,N/A,5.0,1.0,"Chowk Main Road, near Jharkhand Gramin Bank, Madhupur, Dhamni, Jharkhand 815353",Madhupur,24.2411334,86.54153529999999,ChIJ80Ap6VtJ8TkRNwRhVRWfC1M,https://www.google.com/maps/place/?q=place_id:ChIJ80Ap6VtJ8TkRNwRhVRWfC1M,part_381,2026-09-20 20:19:18,242
BIKASH PAN DUKAN,Paan and FMCG Stall,Home goods store,Home goods store,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,3.3,23.0,"8WPH+543, PALOJORI ROAD, Balidih, DEOGHAR, Jharkhand 814150",814114,24.3353818,86.9278025,ChIJkWUTe0TY8DkRbanD7As25Rw,https://www.google.com/maps/place/?q=place_id:ChIJkWUTe0TY8DkRbanD7As25Rw,part_381,2026-09-20 20:19:18,243
Mohanbhog - Sweets & Cakes,Paan and FMCG Stall,Sweet shop,Sweet shop,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 70704 69629,N/A,3.7,216.0,"Laxmi Tower, Station Rd, near ICICI Bank, Deoghar, Jharkhand 814112",814114,24.4891117,86.69485399999999,ChIJ1UHOtikW8TkRrVI9x7HSg2I,https://www.google.com/maps/place/?q=place_id:ChIJ1UHOtikW8TkRrVI9x7HSg2I,part_381,2026-09-20 20:19:18,244
Baba Jhumraj Paan Dukan,Paan and FMCG Stall,Paan shop,Paan shop,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 78708 31278,N/A,3.8,146.0,"8926+Q6C, Bengabad, Jharkhand 815312",814114,24.301946899999997,86.36051499999999,ChIJ1V9cfXJa8TkRPAJ-kaHkDUE,https://www.google.com/maps/place/?q=place_id:ChIJ1V9cfXJa8TkRPAJ-kaHkDUE,part_381,2026-09-20 20:19:18,245
Medha Milk,Paan and FMCG Stall,Dessert shop,Dessert shop,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 70619 25686,N/A,,,"VIP Chowk, Williams Town, Deoghar, Jharkhand 814112",Williams Town,24.492045299999997,86.6861412,ChIJJ46BJbYX8TkRnwjbIszNYc0,https://www.google.com/maps/place/?q=place_id:ChIJJ46BJbYX8TkRnwjbIszNYc0,part_381,2026-09-20 20:19:18,246
Modi Pan Bhandar,Paan and FMCG Stall,Tobacco shop,Tobacco shop,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 87098 79340,N/A,,,"Dalmia Cup Road, Raod, Amtalla Bherwa, Deoghar, Pathrol, Jharkhand 815353","Raod, Amtalla Bherwa",24.267472899999998,86.64715489999999,ChIJcU3xPn038TkRQ0xnEHZ9aWQ,https://www.google.com/maps/place/?q=place_id:ChIJcU3xPn038TkRQ0xnEHZ9aWQ,part_381,2026-09-20 20:19:18,247
Khabir Paan Shop,Paan and FMCG Stall,Tobacco shop,Tobacco shop,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 91101 04298,N/A,5.0,1.0,"Jagdishpur, Pindra, Jharkhand 815353",814114,24.2706357,86.52412729999999,ChIJL-PVxw5J8TkRLlpBzND1n2Q,https://www.google.com/maps/place/?q=place_id:ChIJL-PVxw5J8TkRLlpBzND1n2Q,part_381,2026-09-20 20:19:18,248
Saran Ji Paan Bhandar,Paan and FMCG Stall,Tobacco shop,Tobacco shop,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 91023 40909,N/A,4.3,3.0,"Near, Baidhanatha Toukige, Bilasi Town, Deoghar, Jharkhand 814113",Bilasi Town,24.4949591,86.7080897,ChIJY8Ds5BsX8TkRsTXh6qysOj0,https://www.google.com/maps/place/?q=place_id:ChIJY8Ds5BsX8TkRsTXh6qysOj0,part_381,2026-09-20 20:19:19,249
Bhola Pan & Fruits Shop,Paan and FMCG Stall,Paan shop,Paan shop,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,3.3,6.0,"Koriyatand, Deoghar, Malidih, Jharkhand 814114",814114,24.3740672,86.663658,ChIJWVJytnY78TkRzsXCNGa3mUc,https://www.google.com/maps/place/?q=place_id:ChIJWVJytnY78TkRzsXCNGa3mUc,part_381,2026-09-20 20:19:19,250
Sanjay Pan Dukan,Paan and FMCG Stall,Entertainer,"Entertainer, Tobacco shop",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 70041 99880,N/A,4.5,2.0,"1, Jasidih, Deoghar, Jharkhand 814142",814114,24.5151751,86.645118,ChIJq9pcsXwV8TkRFygs5ycrMz0,https://www.google.com/maps/place/?q=place_id:ChIJq9pcsXwV8TkRFygs5ycrMz0,part_381,2026-09-20 20:19:19,251
MANOJ PAAN BHANDAR & GENERAL STORE,Paan and FMCG Stall,Grocery store,"Grocery store, Supermarket",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,5.0,4.0,"FMQR+MRJ, Baidyanathdham Railway Station Rd, near Cafe Spice Restaurant, Williams Town, Deoghar, Jharkhand 814112",Williams Town,24.489222299999998,86.6920301,ChIJRfB7_LEX8TkR-rg89fz9TDM,https://www.google.com/maps/place/?q=place_id:ChIJRfB7_LEX8TkR-rg89fz9TDM,part_381,2026-09-20 20:19:19,252
Benga paan Dukaan,Paan and FMCG Stall,Paan shop,"Paan shop, Tobacco shop",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,4.7,3.0,"FMPX+6F8, Castairs Town, Bompas Town, Deoghar, Jharkhand 814112","Castairs Town, Bompas Town",24.4855417,86.6987145,ChIJlcDKKX898TkR9FN3ZKeNEpw,https://www.google.com/maps/place/?q=place_id:ChIJlcDKKX898TkR9FN3ZKeNEpw,part_381,2026-09-20 20:19:19,253
Chapkan Pan Store,Paan and FMCG Stall,Tobacco shop,Tobacco shop,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,3.7,3.0,"FPV2+2C7, Baidyanath Ln, Bidyanath Lane, Shivganga Muhalla, Deoghar, Jharkhand 814112","Bidyanath Lane, Shivganga Muhalla",24.4925285,86.7010375,ChIJHcKeNisW8TkRT8txPC5ICf8,https://www.google.com/maps/place/?q=place_id:ChIJHcKeNisW8TkRT8txPC5ICf8,part_381,2026-09-20 20:19:19,254
sandeep Pan Dukan,Paan and FMCG Stall,Food court,Food court,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 99398 56219,N/A,5.0,1.0,"chas, Deoghar, Jharkhand 814143",chas,24.4787197,86.7149256,ChIJYWE16PI98TkRoPwY_9uSTUE,https://www.google.com/maps/place/?q=place_id:ChIJYWE16PI98TkRoPwY_9uSTUE,part_381,2026-09-20 20:19:19,255
Baba Pan Bhandar 1,Paan and FMCG Stall,Tobacco shop,Tobacco shop,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 93043 92558,N/A,5.0,1.0,"Niche Bazar, Niche Bazar Road, Tetrapara, Purana Dumka, Dumka, Deoghar, Jharkhand 814112","Tetrapara, Purana Dumka",24.2544188,87.2365408,ChIJq2WKJXG38DkRH2YLlnzAr7Y,https://www.google.com/maps/place/?q=place_id:ChIJq2WKJXG38DkRH2YLlnzAr7Y,part_381,2026-09-20 20:19:19,256
Paan shop,Paan and FMCG Stall,Paan shop,Paan shop,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 62044 62671,N/A,5.0,4.0,"7 hours available, Village, dhiba more 24, Madhupur, Ghaghra, Jharkhand 815357",814114,24.199517399999998,86.7517759,ChIJaQ8St-4t8TkRCX75P-ZtF9g,https://www.google.com/maps/place/?q=place_id:ChIJaQ8St-4t8TkRCX75P-ZtF9g,part_381,2026-09-20 20:19:19,257
Sandeep Pan shop,Paan and FMCG Stall,Tobacco shop,Tobacco shop,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 80512 56664,N/A,,,"naulakha mandir, Nolakha, Deoghar Sarama Road, Deoghar, Jharkhand 814143",Jyoti Nagar,24.476630099999998,86.7145984,ChIJD8x4wpU98TkRVd0S-1WAdbU,https://www.google.com/maps/place/?q=place_id:ChIJD8x4wpU98TkRVd0S-1WAdbU,part_381,2026-09-20 20:19:19,258
Pandey Dukan,Paan and FMCG Stall,Restaurant,Restaurant,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 94713 22898,N/A,4.5,21.0,"Pandey Dukan, Deoghar - Sarwan Rd, Deoghar, Kusumdih, Jharkhand 814143",814114,24.4527455,86.7163698,ChIJmaEDAho98TkRHOaZ4EQen0Q,https://www.google.com/maps/place/?q=place_id:ChIJmaEDAho98TkRHOaZ4EQen0Q,part_381,2026-09-20 20:19:19,259
Laxman Paan Dukaan,Paan and FMCG Stall,Paan shop,"Paan shop, Tobacco shop",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,4.0,119.0,"J5X6+W96, Sector 1, Bokaro Steel City, Jharkhand 827001",Sector 1,23.649799299999998,86.160898,ChIJn5IH8sMj9DkRKuwWeO0hNNY,https://www.google.com/maps/place/?q=place_id:ChIJn5IH8sMj9DkRKuwWeO0hNNY,part_381,2026-09-20 20:19:20,260
Banarsi Pan Bhandar,Paan and FMCG Stall,General store,General store,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 94727 11215,N/A,4.5,17.0,"New Kalimati Rd, Hirasingh Bagan, Sakchi, Jamshedpur, Jharkhand 831001","Hirasingh Bagan, Sakchi",22.8025305,86.2053734,ChIJoQ7-yZTj9TkRTdBCDCWrky8,https://www.google.com/maps/place/?q=place_id:ChIJoQ7-yZTj9TkRTdBCDCWrky8,part_381,2026-09-20 20:19:20,261
Chedi Pan Dukan,Paan and FMCG Stall,Grocery store,"Grocery store, General store, Tobacco shop",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 87095 14838,N/A,3.9,35.0,"Hinoo Main Rd, Kilburn Colony, Shukla Colony, Ranchi, Jharkhand 834002","Kilburn Colony, Shukla Colony",23.330930499999997,85.315839,ChIJG3Rdecvh9DkRbPu9ocMvXAk,https://www.google.com/maps/place/?q=place_id:ChIJG3Rdecvh9DkRbPu9ocMvXAk,part_381,2026-09-20 20:19:20,262
Tulsi paan dukaan,Paan and FMCG Stall,Paan shop,Paan shop,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,5.0,1.0,"Govind market, Balidih, Bokaro Steel City, Jharkhand 827014",Balidih,23.667257799999998,86.0672139,ChIJIZ17A_c99DkRr16GRRZ_Q14,https://www.google.com/maps/place/?q=place_id:ChIJIZ17A_c99DkRr16GRRZ_Q14,part_381,2026-09-20 20:19:20,263
Mast Banarasi Paan Ranchi,Paan and FMCG Stall,Paan shop,Paan shop,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 80847 04656,N/A,4.9,11.0,"Tigga Complex,Murma, Brambe, Ranchi, Jharkhand 835205",814114,23.4377185,85.139482,ChIJubSsURfb9DkR84bD34vO_qk,https://www.google.com/maps/place/?q=place_id:ChIJubSsURfb9DkR84bD34vO_qk,part_381,2026-09-20 20:19:20,264
Srinu Padala Pan & Cooldrink Shop,Paan and FMCG Stall,Paan shop,Paan shop,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 83748 99226,N/A,4.5,18.0,"N.K rajapurm, junction, Nandivada Kurmarajapuram, Andhra Pradesh 532440",814114,18.6004611,83.7672424,ChIJJd73VTVlPDoRFX2dVvfb8ak,https://www.google.com/maps/place/?q=place_id:ChIJJd73VTVlPDoRFX2dVvfb8ak,part_381,2026-09-20 20:19:20,265
ASHA INDUSTRIES,Paan and FMCG Stall,Wholesaler,"Wholesaler, FMCG Manufacturer",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 87898 57503,http://ashaind.in/,4.9,38.0,"Sanko Sai, Road No. 5, Mango, Jamshedpur, Jharkhand 831012",Mango,22.8255086,86.238925,ChIJxfCfOpfl9TkR5l9M9z1_dRk,https://www.google.com/maps/place/?q=place_id:ChIJxfCfOpfl9TkR5l9M9z1_dRk,part_381,2026-09-20 20:19:20,266
Mukesh Pan Dukan,Paan and FMCG Stall,Shopping mall,Shopping mall,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,3.6,114.0,"Sector 1, Bokaro Steel City, Jharkhand 827001",Sector 1,23.647294799999997,86.1603621,ChIJHx5RLMIj9DkRM3XmGdijauQ,https://www.google.com/maps/place/?q=place_id:ChIJHx5RLMIj9DkRM3XmGdijauQ,part_381,2026-09-20 20:19:20,267
Rs pan masala,Paan and FMCG Stall,Bakery and Cake Shop,"Bakery and Cake Shop, General store",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,4.1,14.0,"Near Kishali Bicycle, Veer Savarkar Nagar, Hirapur Colony, Raipur, Chhattisgarh 492099","Veer Savarkar Nagar, RDA Colony, Hirapur Colony",21.2719375,81.5808125,ChIJj1kwvZjgKDoRml6pAZK7LQU,https://www.google.com/maps/place/?q=place_id:ChIJj1kwvZjgKDoRml6pAZK7LQU,part_381,2026-09-20 20:19:20,268
Pan Parag India Ltd.,Paan and FMCG Stall,Food seasoning manufacturer,"Food seasoning manufacturer, Tobacco shop",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,https://www.panparag.com/,4.1,89.0,"24/19, Birhana Rd, Karachi Khana, Civil Lines, Kanpur, Uttar Pradesh 208001","Karachi Khana, Civil Lines",26.464894599999997,80.35894429999999,ChIJzSA3tlZHnDkRzoCnM1gWFho,https://www.google.com/maps/place/?q=place_id:ChIJzSA3tlZHnDkRzoCnM1gWFho,part_381,2026-09-20 20:19:20,269
Saffiullah Pan Dukan,Paan and FMCG Stall,Shopping mall,Shopping mall,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 99341 92046,N/A,3.5,35.0,"HPCQ+22J, Chari, Jharkhand 829110",814114,23.570079999999997,85.73753099999999,ChIJH3dFERtb9DkRDWTNnEUpKXE,https://www.google.com/maps/place/?q=place_id:ChIJH3dFERtb9DkRDWTNnEUpKXE,part_381,2026-09-20 20:19:20,270
Paal G Pan Shop,Paan and FMCG Stall,Advertising agency,Advertising agency,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 91698 88332,http://xn--spboysfilmcreation-eo8a2g9j.com/,4.6,5.0,"Road, Lalgopalganj, Kunda, Uttar Pradesh 230204",814114,25.718770199999998,81.5197986,ChIJzyMgQCDfmjkRWQpedXWf6Hc,https://www.google.com/maps/place/?q=place_id:ChIJzyMgQCDfmjkRWQpedXWf6Hc,part_381,2026-09-20 20:19:20,271
Pan Varieties Point,Paan and FMCG Stall,Restaurant,Restaurant,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 79052 37705,N/A,4.6,20.0,"2GR9+2H8, Phase -1, Peenya, Bengaluru, Karnataka 560015","Phase -1, Peenya",13.0400271,77.518946,ChIJt0wJA6Y9rjsRyF5iT93Bddo,https://www.google.com/maps/place/?q=place_id:ChIJt0wJA6Y9rjsRyF5iT93Bddo,part_381,2026-09-20 20:19:20,272
Paan Center,Paan and FMCG Stall,Grocery store,Grocery store,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,4.0,26.0,"3HJV+P3J, NH 39, Kachani, Madhya Pradesh 486887",814114,24.0818326,82.5926501,ChIJS6Xbpds3jzkRZKUMbiNqwEo,https://www.google.com/maps/place/?q=place_id:ChIJS6Xbpds3jzkRZKUMbiNqwEo,part_381,2026-09-20 20:19:20,273
Prakash bhandar,Paan and FMCG Stall,Food products supplier,Food products supplier,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,5.0,,"Hathi pahar road, Baidhnathpur, Deoghar, Jharkhand 814112",Baidhnathpur,24.489301299999997,86.7150681,ChIJraW61dAX8TkRLkhVVYKFaMQ,https://www.google.com/maps/place/?q=place_id:ChIJraW61dAX8TkRLkhVVYKFaMQ,part_381,2026-09-20 20:19:20,274
"N K TRADERS ,DEOGHAR",Paan and FMCG Stall,Gift shop,Gift shop,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 74883 37188,N/A,4.9,,"Loha Bari, Shivganga Muhalla, Deoghar, Jharkhand 814112","Loha Bari, Shivganga Muhalla",24.4905026,86.6997379,ChIJFRABCbUX8TkRfMGYJQy4GsY,https://www.google.com/maps/place/?q=place_id:ChIJFRABCbUX8TkRfMGYJQy4GsY,part_381,2026-09-20 20:19:20,275
Punam Enterprises,Paan and FMCG Stall,FMCG Goods Wholesaler,"FMCG Goods Wholesaler, Wholesale market, Wholesale grocer, Wholesaler",814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 72502 97222,N/A,4.9,,"Niche Tola, Telo, Jharkhand 828403",814114,23.8166358,86.12265819999999,ChIJQde3Kxkb9DkRkwoYqqYSsdE,https://www.google.com/maps/place/?q=place_id:ChIJQde3Kxkb9DkRkwoYqqYSsdE,part_381,2026-09-20 20:19:20,276
Maa Durga Traders,Paan and FMCG Stall,Tobacco supplier,Tobacco supplier,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 70046 44880,N/A,5.0,,"AIIMS Deoghar Rd, Chitarpur, Jharkhand 815353",814114,24.385460199999997,86.5615773,ChIJ_wo6DABH8TkR9iKNmiHScrw,https://www.google.com/maps/place/?q=place_id:ChIJ_wo6DABH8TkR9iKNmiHScrw,part_381,2026-09-20 20:19:20,277
F.M.C.G Quality Management Private Limited,Paan and FMCG Stall,Convenience store,Convenience store,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 83485 95480,https://fmcg-quality-management-private-limited.ueniweb.com/,,,"BN Jha Rd, Pokhna Tilha, Katoria, Deoghar, Jharkhand 814112","Pokhna Tilha, Katoria",24.5030264,86.7022971,ChIJw7bQMnMX8TkRBoWjXB_j9r4,https://www.google.com/maps/place/?q=place_id:ChIJw7bQMnMX8TkRBoWjXB_j9r4,part_381,2026-09-20 20:19:20,278
PUJA TRADERS 9523,Paan and FMCG Stall,General store,General store,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 95238 27298,N/A,5.0,,"kust Ashram Rd, Jhoushagari, Deoghar, Jharkhand 814112",Jhoushagari,24.489151099999997,86.7072496,ChIJWwNm8csX8TkRaqqRC2jBcHw,https://www.google.com/maps/place/?q=place_id:ChIJWwNm8csX8TkRaqqRC2jBcHw,part_381,2026-09-20 20:19:20,279
S.K.traders,Paan and FMCG Stall,General store,General store,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 94313 11303,N/A,4.0,,"FMRX CCR, Kanu Tola, Ganga Hari Ln, Shivganga Muhalla, Deoghar, Jharkhand 814112",Shivganga Muhalla,24.4907959,86.6988648,ChIJMdIydowX8TkRxyo0wrioGjs,https://www.google.com/maps/place/?q=place_id:ChIJMdIydowX8TkRxyo0wrioGjs,part_381,2026-09-20 20:19:20,280
Prashant TRADERS,Paan and FMCG Stall,Grocery store,Grocery store,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 97091 22720,N/A,3.7,,"Bypass road, near buddawan, Deoghar, Singhua, Jharkhand 814112",814114,24.505458899999997,86.6719048,ChIJTzjYDBcW8TkRDv73OfZeQas,https://www.google.com/maps/place/?q=place_id:ChIJTzjYDBcW8TkRDv73OfZeQas,part_381,2026-09-20 20:19:20,281
PAWAN JEE TRADERS,Paan and FMCG Stall,Electronics store,Electronics store,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",+91 87898 13520,N/A,5.0,,"FPR6+2JC, Raghunath Rd, jaushagadi, Deoghar, Jharkhand 814112",jaushagadi,24.4900612,86.7115075,ChIJFwcaHvUX8TkRucRVmV9mmyE,https://www.google.com/maps/place/?q=place_id:ChIJFwcaHvUX8TkRucRVmV9mmyE,part_381,2026-09-20 20:19:20,282
Pawan Traders,Paan and FMCG Stall,Home goods store,Home goods store,814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO",N/A,N/A,5.0,,"FPRF+HC9, Deoghar - Dumka Rd, Baba Colony, Baidhnathpur, Deoghar, Jharkhand 814112","Baba Colony, Baidhnathpur",24.4914228,86.72361219999999,ChIJXcjWXAAX8TkRyxXvGZJd5ak,https://www.google.com/maps/place/?q=place_id:ChIJXcjWXAAX8TkRyxXvGZJd5ak,part_381,2026-09-20 20:19:20,283
Pawan Pan Shop,Paan and FMCG Stall,Tobacco shop,Tobacco shop,814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,N/A,N/A,4.2,44.0,"G87X+523, Armstrong Ave, Bidhannagar, Durgapur, West Bengal 713212",Bidhannagar,23.5128897,87.34755849999999,ChIJFSb1lVFw9zkR-cV2issKRyM,https://www.google.com/maps/place/?q=place_id:ChIJFSb1lVFw9zkR-cV2issKRyM,part_381,2026-09-20 20:20:03,4675
PAAN BAZAAR INDIA- पान बाजार इंडिया,Paan and FMCG Stall,Wholesaler,"Wholesaler, Vegetable wholesale market",814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,+91 96473 65286,https://youtu.be/lwMVFouPhdo,4.9,36.0,"Kakdwip Station Rd, Kakdwip, Ganespur, West Bengal 743347",814115,21.878840699999998,88.1949899,ChIJrROXWC5VAjoRLzViWI1OF_k,https://www.google.com/maps/place/?q=place_id:ChIJrROXWC5VAjoRLzViWI1OF_k,part_381,2026-09-20 20:20:03,4676
Aryan Pan Bhandar,Paan and FMCG Stall,Tobacco shop,Tobacco shop,814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,+91 90222 29732,N/A,4.5,2.0,"Bhawanipur, Biraul, Rohar, Bihar 846010",Bhawanipur,25.9867855,86.2172789,ChIJ_TCEW-Hh7TkRcdsuwcZeZN4,https://www.google.com/maps/place/?q=place_id:ChIJ_TCEW-Hh7TkRcdsuwcZeZN4,part_381,2026-09-20 20:20:03,4677
Pan Masala Wholesalers,Paan and FMCG Stall,Tobacco supplier,Tobacco supplier,814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,N/A,N/A,,,"8, JJ Rd, opp. Maulana Azad College, Upper Bazar, Ranchi, Jharkhand 834001",Upper Bazar,23.370908999999997,85.321011,ChIJQxCNxATh9DkRGfE-vFQ0OXI,https://www.google.com/maps/place/?q=place_id:ChIJQxCNxATh9DkRGfE-vFQ0OXI,part_381,2026-09-20 20:20:03,4678
Prem paan dukan,Paan and FMCG Stall,Paan shop,Paan shop,814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,N/A,N/A,5.0,1.0,"V637+VXV, Barkagaon, Jharkhand 825311",814115,23.8547297,85.2149281,ChIJJ-ZoOQC99DkRJQGcKrrcdtg,https://www.google.com/maps/place/?q=place_id:ChIJJ-ZoOQC99DkRJQGcKrrcdtg,part_381,2026-09-20 20:20:04,4679
Radhe Sachin Pan Bhandar,Paan and FMCG Stall,Tobacco shop,Tobacco shop,814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,+91 99559 71460,N/A,5.0,3.0,"Pandit Chowk, Ghordaur, Banbhaura, Bihar 848207",814115,25.7630286,86.27680319999999,ChIJoaGcnGIH7jkRS-yiEdqCFb0,https://www.google.com/maps/place/?q=place_id:ChIJoaGcnGIH7jkRS-yiEdqCFb0,part_381,2026-09-20 20:20:04,4680
MANOJ PAAN BHANDAR | BEST PAAN SHOP |,Paan and FMCG Stall,Paan shop,"Paan shop, Dhaba, General store, Grocery delivery service, Restaurant",814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,+91 78003 58017,N/A,4.8,11.0,"Naubasta, Uttar Pradesh 230129",814115,25.850297299999998,81.80444,ChIJNT5WlqbrmjkRvOABcpuafpA,https://www.google.com/maps/place/?q=place_id:ChIJNT5WlqbrmjkRvOABcpuafpA,part_381,2026-09-20 20:20:04,4681
Rashtriya Pan Darbar (RPD),Paan and FMCG Stall,Paan shop,"Paan shop, Catering food and drink supplier, Caterer, Dessert shop, Food products supplier, Restaurant, Restaurant supply store",814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO,+91 88403 52168,http://linktr.ee/rashtriyapandarbar_2022,4.9,209.0,"Karan plaza, sector-I, near ashiyana chauraha, kanpur, road, LDA Colony, Lucknow, Uttar Pradesh 226012","Sector I, LDA Colony",26.7951452,80.91302859999999,ChIJYQjxX1r9mzkRENboQ_d384c,https://www.google.com/maps/place/?q=place_id:ChIJYQjxX1r9mzkRENboQ_d384c,part_381,2026-09-20 20:20:04,4682
